device_id;location;measurement;soil_type;land_use;latitude;longitude
eui-a84041edd184a0c0;Bad Belzig;Zegg Neupflanzung;Sand;Baum/Wald;52.157144028385375;12.59251056608733
eui-a84041674184a0e7;Bad Belzig;Zegg Kiefer;Sand;Baum/Wald;52.157080284490995;12.592768028988885
eui-8cf9572000089942;Fredersdorf;Maisacker 3-10dm;Sand;Garten/Acker;52.17423865872328;12.577118080152877
eui-a84041e1c184a0a7;Fredersdorf;Maisacker 1dm;Sand;Garten/Acker;52.17423865872328;12.577118080152877
eui-8cf9572000089a0c;Fredersdorf;Belziger Landschaftswiesen;Moor;Wiese/Weide;52.19451084558159;12.660952176825672
eui-a84041315184a104;Fredersdorf;Belziger Landschaftswiesen/Mitte;Moor;Wiese/Weide;52.19389405031041;12.663550434601884
eui-a84041caf184a0b1;Fredersdorf;Belziger Landschaftswiesen am Stau;Moor;Wiese/Weide;52.19312329198626;12.66686147559019
eui-a84041f6e184a0e1;Schlamau;Sandhügel;Sand;Wiese/Weide;52.13790320732274;12.446846867693614
eui-a840411bf185a78a;Arensnest;Hausweide 1dm;lehmiger Sand;Weide/Wiese;52.150582928078855;12.43945268734117
eui-a84041d43184a0ed;Schlamau;Kartoffelacker mit Mulch;Sand;Garten/Acker;52.138218707285986;12.44150887684663
eui-a84041fb9184a0f8;Schlamau;Kartoffelacker ohne Mulch;Sand;Garten/Acker;52.138218707285986;12.44150887684663
eui-8cf957200008990d;Schlamau;Allmendeacker;Sand;Garten/Acker;52.13766786665334;12.442466335600434
eui-a84041eb9184a0d1;Klein Glien;Coconut Eiche;Sand;Baum/Wald;52.13199617197246;12.516630701313197
eui-8cf9572000064e17;Wiesenburg;Schlosspark;Sand;Baum/Wald;52.11001140259266;12.451317861729372
eui-8cf9572000064df7;Bad Belzig;Marktplatz;Sand;Baum/Wald;52.14013652858884;12.58688807487488
eui-a84041a1e184a0ef;Berlin;Botanischer Garten;Sand;Garten/Acker;52.45507363065665;13.3056024
eui-a840419a5184a0bc;Berlin;Botanischer Garten;Sand;Garten/Acker;52.45507363065665;13.3056024
eui-8cf9572000064df0;Bad Belzig;Waldfriedhof;Sand;Baum/Wald;52.14664148369813;12.570924413591651
eui-8cf9572000064e11;Bad Belzig;Schlossstr;Moor;Baum/Wald;52.13827485750737;12.585822760256201
eui-8cf9572000064d76;Bad Belzig;Steintherme;Sand;Baum/Wald;52.14981999762923;12.595381180885116
eui-8cf9572000064d81;Lübnitz;Agroforst;Sand;Baum/Wald;52.153106179615726;12.528435550566074
eui-8cf9572000064e10,Bad Belzig;Str.d.Einheit;Sand;Baum/Wald;52.14113920051047;12.588103595325974
eui-8cf9572000064dd8;Bad Belzig;Steinstr;Sand;Baum/Wald;52.14266677479337;12.583237200123843
eui-8cf9572000064df4;Bad Belzig;Baur-Str.;Sand;Baum/Wald;52.14765736345762;12.596935455789056
eui-8cf9572000064de1;Bad belzig;Stadionstr.-Spielplz.;Sand;Baum/Wald;52.145945615061756;12.589351317583525
eui-8cf9572000064e0f;Bad Belzig;Schillerstr.;Sand;Baum/Wald;52.14011200903196;12.60141074632673
eui-8cf9572000064e04;Bad Belzig;Lärchenweg-Streuobstwiese;Sand;Baum/Wald;52.153852025887275;12.58634385558265
eui-8cf9572000064de5;Bad Belzig;Lärchenweg-Resilia-Pflanzung;Sand;Baum/Wald;52.15185086893372;12.588714713467104
